Points_0,Points_1,Points_2,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
0.000000e+00,7.519531e-01,5.000000e-02,8.256052e-05,-1.041175e-02,0.000000e+00,-7.142599e-03,0.000000e+00,0.000000e+00
1.000000e-03,7.519531e-01,5.000000e-02,9.105109e-05,-1.033249e-02,0.000000e+00,-7.106666e-03,0.000000e+00,0.000000e+00
2.000000e-03,7.519531e-01,5.000000e-02,9.954166e-05,-1.025323e-02,0.000000e+00,-7.070734e-03,0.000000e+00,0.000000e+00
3.000000e-03,7.519531e-01,5.000000e-02,1.080322e-04,-1.017397e-02,0.000000e+00,-7.034802e-03,0.000000e+00,0.000000e+00
4.000000e-03,7.519531e-01,5.000000e-02,1.165228e-04,-1.009471e-02,0.000000e+00,-6.998870e-03,0.000000e+00,0.000000e+00
5.000000e-03,7.519531e-01,5.000000e-02,1.250134e-04,-1.001544e-02,0.000000e+00,-6.962937e-03,0.000000e+00,0.000000e+00
6.000000e-03,7.519531e-01,5.000000e-02,1.335039e-04,-9.936183e-03,0.000000e+00,-6.927005e-03,0.000000e+00,0.000000e+00
7.000000e-03,7.519531e-01,5.000000e-02,1.419945e-04,-9.856922e-03,0.000000e+00,-6.891073e-03,0.000000e+00,0.000000e+00
8.000000e-03,7.519531e-01,5.000000e-02,1.518868e-04,-9.766866e-03,0.000000e+00,-6.849789e-03,0.000000e+00,0.000000e+00
9.000000e-03,7.519531e-01,5.000000e-02,1.678529e-04,-9.630039e-03,0.000000e+00,-6.785316e-03,0.000000e+00,0.000000e+00
1.000000e-02,7.519531e-01,5.000000e-02,1.838191e-04,-9.493212e-03,0.000000e+00,-6.720842e-03,0.000000e+00,0.000000e+00
1.100000e-02,7.519531e-01,5.000000e-02,1.997853e-04,-9.356386e-03,0.000000e+00,-6.656369e-03,0.000000e+00,0.000000e+00
1.200000e-02,7.519531e-01,5.000000e-02,2.157514e-04,-9.219559e-03,0.000000e+00,-6.591896e-03,0.000000e+00,0.000000e+00
1.300000e-02,7.519531e-01,5.000000e-02,2.317176e-04,-9.082732e-03,0.000000e+00,-6.527423e-03,0.000000e+00,0.000000e+00
1.400000e-02,7.519531e-01,5.000000e-02,2.476838e-04,-8.945905e-03,0.000000e+00,-6.462949e-03,0.000000e+00,0.000000e+00
1.500000e-02,7.519531e-01,5.000000e-02,2.636500e-04,-8.809078e-03,0.000000e+00,-6.398476e-03,0.000000e+00,0.000000e+00
1.600000e-02,7.519531e-01,5.000000e-02,2.790919e-04,-8.682354e-03,0.000000e+00,-6.337285e-03,0.000000e+00,0.000000e+00
1.700000e-02,7.519531e-01,5.000000e-02,2.936603e-04,-8.572471e-03,0.000000e+00,-6.281563e-03,0.000000e+00,0.000000e+00
1.800000e-02,7.519531e-01,5.000000e-02,3.082286e-04,-8.462588e-03,0.000000e+00,-6.225841e-03,0.000000e+00,0.000000e+00
1.900000e-02,7.519531e-01,5.000000e-02,3.227969e-04,-8.352705e-03,0.000000e+00,-6.170118e-03,0.000000e+00,0.000000e+00
2.000000e-02,7.519531e-01,5.000000e-02,3.373652e-04,-8.242822e-03,0.000000e+00,-6.114396e-03,0.000000e+00,0.000000e+00
2.100000e-02,7.519531e-01,5.000000e-02,3.519335e-04,-8.132939e-03,0.000000e+00,-6.058674e-03,0.000000e+00,0.000000e+00
2.200000e-02,7.519531e-01,5.000000e-02,3.665019e-04,-8.023056e-03,0.000000e+00,-6.002952e-03,0.000000e+00,0.000000e+00
2.300000e-02,7.519531e-01,5.000000e-02,3.810702e-04,-7.913173e-03,0.000000e+00,-5.947229e-03,0.000000e+00,0.000000e+00
2.400000e-02,7.519531e-01,5.000000e-02,3.949034e-04,-7.809446e-03,0.000000e+00,-5.893310e-03,0.000000e+00,0.000000e+00
2.500000e-02,7.519531e-01,5.000000e-02,4.081648e-04,-7.710507e-03,0.000000e+00,-5.840793e-03,0.000000e+00,0.000000e+00
2.600000e-02,7.519531e-01,5.000000e-02,4.214263e-04,-7.611569e-03,0.000000e+00,-5.788276e-03,0.000000e+00,0.000000e+00
2.700000e-02,7.519531e-01,5.000000e-02,4.346878e-04,-7.512629e-03,0.000000e+00,-5.735759e-03,0.000000e+00,0.000000e+00
2.800000e-02,7.519531e-01,5.000000e-02,4.479492e-04,-7.413691e-03,0.000000e+00,-5.683241e-03,0.000000e+00,0.000000e+00
2.900000e-02,7.519531e-01,5.000000e-02,4.612107e-04,-7.314752e-03,0.000000e+00,-5.630724e-03,0.000000e+00,0.000000e+00
3.000000e-02,7.519531e-01,5.000000e-02,4.744721e-04,-7.215814e-03,0.000000e+00,-5.578207e-03,0.000000e+00,0.000000e+00
3.100000e-02,7.519531e-01,5.000000e-02,4.877336e-04,-7.116875e-03,0.000000e+00,-5.525690e-03,0.000000e+00,0.000000e+00
3.200000e-02,7.519531e-01,5.000000e-02,4.997925e-04,-7.026154e-03,0.000000e+00,-5.475779e-03,0.000000e+00,0.000000e+00
3.300000e-02,7.519531e-01,5.000000e-02,5.114505e-04,-6.938173e-03,0.000000e+00,-5.426736e-03,0.000000e+00,0.000000e+00
3.400000e-02,7.519531e-01,5.000000e-02,5.231085e-04,-6.850191e-03,0.000000e+00,-5.377693e-03,0.000000e+00,0.000000e+00
3.500000e-02,7.519531e-01,5.000000e-02,5.347665e-04,-6.762210e-03,0.000000e+00,-5.328650e-03,0.000000e+00,0.000000e+00
3.600000e-02,7.519531e-01,5.000000e-02,5.464245e-04,-6.674230e-03,0.000000e+00,-5.279608e-03,0.000000e+00,0.000000e+00
3.700000e-02,7.519531e-01,5.000000e-02,5.580826e-04,-6.586248e-03,0.000000e+00,-5.230565e-03,0.000000e+00,0.000000e+00
3.800000e-02,7.519531e-01,5.000000e-02,5.697406e-04,-6.498267e-03,0.000000e+00,-5.181522e-03,0.000000e+00,0.000000e+00
3.900000e-02,7.519531e-01,5.000000e-02,5.813987e-04,-6.410285e-03,0.000000e+00,-5.132479e-03,0.000000e+00,0.000000e+00
4.000000e-02,7.519531e-01,5.000000e-02,5.918662e-04,-6.331962e-03,0.000000e+00,-5.086460e-03,0.000000e+00,0.000000e+00
4.100000e-02,7.519531e-01,5.000000e-02,6.022544e-04,-6.254283e-03,0.000000e+00,-5.040643e-03,0.000000e+00,0.000000e+00
4.200000e-02,7.519531e-01,5.000000e-02,6.126426e-04,-6.176603e-03,0.000000e+00,-4.994826e-03,0.000000e+00,0.000000e+00
4.300000e-02,7.519531e-01,5.000000e-02,6.230308e-04,-6.098924e-03,0.000000e+00,-4.949009e-03,0.000000e+00,0.000000e+00
4.400000e-02,7.519531e-01,5.000000e-02,6.334189e-04,-6.021244e-03,0.000000e+00,-4.903191e-03,0.000000e+00,0.000000e+00
4.500000e-02,7.519531e-01,5.000000e-02,6.438071e-04,-5.943565e-03,0.000000e+00,-4.857374e-03,0.000000e+00,0.000000e+00
4.600000e-02,7.519531e-01,5.000000e-02,6.541953e-04,-5.865885e-03,0.000000e+00,-4.811557e-03,0.000000e+00,0.000000e+00
4.700000e-02,7.519531e-01,5.000000e-02,6.644448e-04,-5.789427e-03,0.000000e+00,-4.766131e-03,0.000000e+00,0.000000e+00
