p,Points_0,Points_1,Points_2,U_0,U_1,U_2
-8.589450e-03,0.000000e+00,5.000000e-01,5.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00
-8.604756e-03,1.000000e-03,5.000000e-01,5.000000e-02,-1.453444e-05,1.248210e-03,0.000000e+00
-8.620060e-03,2.000000e-03,5.000000e-01,5.000000e-02,-2.906888e-05,2.496419e-03,0.000000e+00
-8.635365e-03,3.000000e-03,5.000000e-01,5.000000e-02,-4.360332e-05,3.744629e-03,0.000000e+00
-8.650670e-03,4.000000e-03,5.000000e-01,5.000000e-02,-5.813776e-05,4.992838e-03,0.000000e+00
-8.665975e-03,5.000000e-03,5.000000e-01,5.000000e-02,-7.267219e-05,6.241048e-03,0.000000e+00
-8.681280e-03,6.000000e-03,5.000000e-01,5.000000e-02,-8.720664e-05,7.489257e-03,0.000000e+00
-8.696585e-03,7.000000e-03,5.000000e-01,5.000000e-02,-1.017411e-04,8.737467e-03,0.000000e+00
-8.714959e-03,8.000000e-03,5.000000e-01,5.000000e-02,-1.206869e-04,9.974546e-03,0.000000e+00
-8.746636e-03,9.000000e-03,5.000000e-01,5.000000e-02,-1.587489e-04,1.116338e-02,0.000000e+00
-8.778312e-03,1.000000e-02,5.000000e-01,5.000000e-02,-1.968108e-04,1.235222e-02,0.000000e+00
-8.809989e-03,1.100000e-02,5.000000e-01,5.000000e-02,-2.348727e-04,1.354107e-02,0.000000e+00
-8.841665e-03,1.200000e-02,5.000000e-01,5.000000e-02,-2.729347e-04,1.472990e-02,0.000000e+00
-8.873342e-03,1.300000e-02,5.000000e-01,5.000000e-02,-3.109966e-04,1.591874e-02,0.000000e+00
-8.905019e-03,1.400000e-02,5.000000e-01,5.000000e-02,-3.490586e-04,1.710759e-02,0.000000e+00
-8.936695e-03,1.500000e-02,5.000000e-01,5.000000e-02,-3.871205e-04,1.829642e-02,0.000000e+00
-8.968143e-03,1.600000e-02,5.000000e-01,5.000000e-02,-4.344049e-04,1.946351e-02,0.000000e+00
-8.999211e-03,1.700000e-02,5.000000e-01,5.000000e-02,-4.970600e-04,2.059434e-02,0.000000e+00
-9.030278e-03,1.800000e-02,5.000000e-01,5.000000e-02,-5.597149e-04,2.172516e-02,0.000000e+00
-9.061346e-03,1.900000e-02,5.000000e-01,5.000000e-02,-6.223699e-04,2.285599e-02,0.000000e+00
-9.092413e-03,2.000000e-02,5.000000e-01,5.000000e-02,-6.850249e-04,2.398681e-02,0.000000e+00
-9.123481e-03,2.100000e-02,5.000000e-01,5.000000e-02,-7.476799e-04,2.511764e-02,0.000000e+00
-9.154548e-03,2.200000e-02,5.000000e-01,5.000000e-02,-8.103349e-04,2.624846e-02,0.000000e+00
-9.185616e-03,2.300000e-02,5.000000e-01,5.000000e-02,-8.729899e-04,2.737929e-02,0.000000e+00
-9.215195e-03,2.400000e-02,5.000000e-01,5.000000e-02,-9.486873e-04,2.847830e-02,0.000000e+00
-9.243616e-03,2.500000e-02,5.000000e-01,5.000000e-02,-1.034529e-03,2.955257e-02,0.000000e+00
-9.272037e-03,2.600000e-02,5.000000e-01,5.000000e-02,-1.120370e-03,3.062683e-02,0.000000e+00
-9.300458e-03,2.700000e-02,5.000000e-01,5.000000e-02,-1.206212e-03,3.170110e-02,0.000000e+00
-9.328879e-03,2.800000e-02,5.000000e-01,5.000000e-02,-1.292053e-03,3.277536e-02,0.000000e+00
-9.357301e-03,2.900000e-02,5.000000e-01,5.000000e-02,-1.377894e-03,3.384963e-02,0.000000e+00
-9.385722e-03,3.000000e-02,5.000000e-01,5.000000e-02,-1.463736e-03,3.492389e-02,0.000000e+00
-9.414143e-03,3.100000e-02,5.000000e-01,5.000000e-02,-1.549577e-03,3.599816e-02,0.000000e+00
-9.441330e-03,3.200000e-02,5.000000e-01,5.000000e-02,-1.651597e-03,3.703113e-02,0.000000e+00
-9.468107e-03,3.300000e-02,5.000000e-01,5.000000e-02,-1.759010e-03,3.805032e-02,0.000000e+00
-9.494883e-03,3.400000e-02,5.000000e-01,5.000000e-02,-1.866423e-03,3.906952e-02,0.000000e+00
-9.521659e-03,3.500000e-02,5.000000e-01,5.000000e-02,-1.973836e-03,4.008871e-02,0.000000e+00
-9.548435e-03,3.600000e-02,5.000000e-01,5.000000e-02,-2.081248e-03,4.110791e-02,0.000000e+00
-9.575211e-03,3.700000e-02,5.000000e-01,5.000000e-02,-2.188661e-03,4.212711e-02,0.000000e+00
-9.601987e-03,3.800000e-02,5.000000e-01,5.000000e-02,-2.296074e-03,4.314630e-02,0.000000e+00
-9.628763e-03,3.900000e-02,5.000000e-01,5.000000e-02,-2.403487e-03,4.416550e-02,0.000000e+00
-9.654321e-03,4.000000e-02,5.000000e-01,5.000000e-02,-2.530021e-03,4.513450e-02,0.000000e+00
-9.679797e-03,4.100000e-02,5.000000e-01,5.000000e-02,-2.657830e-03,4.610015e-02,0.000000e+00
-9.705273e-03,4.200000e-02,5.000000e-01,5.000000e-02,-2.785640e-03,4.706579e-02,0.000000e+00
-9.730750e-03,4.300000e-02,5.000000e-01,5.000000e-02,-2.913449e-03,4.803144e-02,0.000000e+00
-9.756226e-03,4.400000e-02,5.000000e-01,5.000000e-02,-3.041258e-03,4.899709e-02,0.000000e+00
-9.781702e-03,4.500000e-02,5.000000e-01,5.000000e-02,-3.169068e-03,4.996274e-02,0.000000e+00
-9.807178e-03,4.600000e-02,5.000000e-01,5.000000e-02,-3.296877e-03,5.092838e-02,0.000000e+00
-9.832505e-03,4.700000e-02,5.000000e-01,5.000000e-02,-3.427099e-03,5.188753e-02,0.000000e+00
-9.856787e-03,4.800000e-02,5.000000e-01,5.000000e-02,-3.574217e-03,5.280118e-02,0.000000e+00
-9.881068e-03,4.900000e-02,5.000000e-01,5.000000e-02,-3.721335e-03,5.371483e-02,0.000000e+00
-9.905350e-03,5.000000e-02,5.000000e-01,5.000000e-02,-3.868453e-03,5.462848e-02,0.000000e+00
-9.929632e-03,5.100000e-02,5.000000e-01,5.000000e-02,-4.015571e-03,5.554212e-02,0.000000e+00
-9.953913e-03,5.200000e-02,5.000000e-01,5.000000e-02,-4.162689e-03,5.645577e-02,0.000000e+00
-9.978195e-03,5.300000e-02,5.000000e-01,5.000000e-02,-4.309806e-03,5.736942e-02,0.000000e+00
-1.000248e-02,5.400000e-02,5.000000e-01,5.000000e-02,-4.456924e-03,5.828307e-02,0.000000e+00
-1.002643e-02,5.500000e-02,5.000000e-01,5.000000e-02,-4.609745e-03,5.918095e-02,0.000000e+00
-1.004964e-02,5.600000e-02,5.000000e-01,5.000000e-02,-4.775112e-03,6.004417e-02,0.000000e+00
-1.007286e-02,5.700000e-02,5.000000e-01,5.000000e-02,-4.940480e-03,6.090737e-02,0.000000e+00
-1.009608e-02,5.800000e-02,5.000000e-01,5.000000e-02,-5.105847e-03,6.177058e-02,0.000000e+00
-1.011929e-02,5.900000e-02,5.000000e-01,5.000000e-02,-5.271215e-03,6.263379e-02,0.000000e+00
-1.014251e-02,6.000000e-02,5.000000e-01,5.000000e-02,-5.436583e-03,6.349700e-02,0.000000e+00
-1.016572e-02,6.100000e-02,5.000000e-01,5.000000e-02,-5.601951e-03,6.436021e-02,0.000000e+00
-1.018894e-02,6.200000e-02,5.000000e-01,5.000000e-02,-5.767318e-03,6.522342e-02,0.000000e+00
-1.021170e-02,6.300000e-02,5.000000e-01,5.000000e-02,-5.941305e-03,6.606220e-02,0.000000e+00
-1.023400e-02,6.400000e-02,5.000000e-01,5.000000e-02,-6.123909e-03,6.687655e-02,0.000000e+00
-1.025630e-02,6.500000e-02,5.000000e-01,5.000000e-02,-6.306513e-03,6.769089e-02,0.000000e+00
-1.027860e-02,6.600000e-02,5.000000e-01,5.000000e-02,-6.489117e-03,6.850524e-02,0.000000e+00
-1.030090e-02,6.700000e-02,5.000000e-01,5.000000e-02,-6.671722e-03,6.931958e-02,0.000000e+00
-1.032320e-02,6.800000e-02,5.000000e-01,5.000000e-02,-6.854326e-03,7.013392e-02,0.000000e+00
-1.034551e-02,6.900000e-02,5.000000e-01,5.000000e-02,-7.036929e-03,7.094827e-02,0.000000e+00
-1.036781e-02,7.000000e-02,5.000000e-01,5.000000e-02,-7.219534e-03,7.176261e-02,0.000000e+00
-1.038958e-02,7.100000e-02,5.000000e-01,5.000000e-02,-7.413324e-03,7.254445e-02,0.000000e+00
-1.041111e-02,7.200000e-02,5.000000e-01,5.000000e-02,-7.612197e-03,7.331149e-02,0.000000e+00
-1.043264e-02,7.300000e-02,5.000000e-01,5.000000e-02,-7.811072e-03,7.407854e-02,0.000000e+00
-1.045418e-02,7.400000e-02,5.000000e-01,5.000000e-02,-8.009946e-03,7.484559e-02,0.000000e+00
-1.047571e-02,7.500000e-02,5.000000e-01,5.000000e-02,-8.208821e-03,7.561264e-02,0.000000e+00
-1.049724e-02,7.600000e-02,5.000000e-01,5.000000e-02,-8.407694e-03,7.637969e-02,0.000000e+00
-1.051878e-02,7.700000e-02,5.000000e-01,5.000000e-02,-8.606569e-03,7.714674e-02,0.000000e+00
-1.054031e-02,7.800000e-02,5.000000e-01,5.000000e-02,-8.805444e-03,7.791379e-02,0.000000e+00
-1.056130e-02,7.900000e-02,5.000000e-01,5.000000e-02,-9.017747e-03,7.864082e-02,0.000000e+00
-1.058222e-02,8.000000e-02,5.000000e-01,5.000000e-02,-9.231967e-03,7.936212e-02,0.000000e+00
-1.060313e-02,8.100000e-02,5.000000e-01,5.000000e-02,-9.446188e-03,8.008344e-02,0.000000e+00
-1.062405e-02,8.200000e-02,5.000000e-01,5.000000e-02,-9.660410e-03,8.080474e-02,0.000000e+00
-1.064496e-02,8.300000e-02,5.000000e-01,5.000000e-02,-9.874630e-03,8.152605e-02,0.000000e+00
-1.066588e-02,8.400000e-02,5.000000e-01,5.000000e-02,-1.008885e-02,8.224736e-02,0.000000e+00
-1.068679e-02,8.500000e-02,5.000000e-01,5.000000e-02,-1.030307e-02,8.296867e-02,0.000000e+00
-1.070768e-02,8.600000e-02,5.000000e-01,5.000000e-02,-1.051820e-02,8.368722e-02,0.000000e+00
-1.072812e-02,8.700000e-02,5.000000e-01,5.000000e-02,-1.074689e-02,8.436432e-02,0.000000e+00
-1.074857e-02,8.800000e-02,5.000000e-01,5.000000e-02,-1.097559e-02,8.504143e-02,0.000000e+00
-1.076901e-02,8.900000e-02,5.000000e-01,5.000000e-02,-1.120428e-02,8.571854e-02,0.000000e+00
-1.078946e-02,9.000000e-02,5.000000e-01,5.000000e-02,-1.143297e-02,8.639565e-02,0.000000e+00
-1.080990e-02,9.100000e-02,5.000000e-01,5.000000e-02,-1.166167e-02,8.707275e-02,0.000000e+00
-1.083035e-02,9.200000e-02,5.000000e-01,5.000000e-02,-1.189036e-02,8.774986e-02,0.000000e+00
