p,Points_0,Points_1,Points_2,U_0,U_1,U_2
2.523340e-03,5.000000e-01,0.000000e+00,5.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00
2.524127e-03,5.000000e-01,1.000000e-03,5.000000e-02,-6.122506e-04,8.496754e-07,0.000000e+00
2.524914e-03,5.000000e-01,2.000000e-03,5.000000e-02,-1.224501e-03,1.699351e-06,0.000000e+00
2.525701e-03,5.000000e-01,3.000000e-03,5.000000e-02,-1.836752e-03,2.549026e-06,0.000000e+00
2.526487e-03,5.000000e-01,4.000000e-03,5.000000e-02,-2.449002e-03,3.398702e-06,0.000000e+00
2.527274e-03,5.000000e-01,5.000000e-03,5.000000e-02,-3.061253e-03,4.248377e-06,0.000000e+00
2.528061e-03,5.000000e-01,6.000000e-03,5.000000e-02,-3.673503e-03,5.098052e-06,0.000000e+00
2.528848e-03,5.000000e-01,7.000000e-03,5.000000e-02,-4.285754e-03,5.947728e-06,0.000000e+00
2.529778e-03,5.000000e-01,8.000000e-03,5.000000e-02,-4.893877e-03,7.028265e-06,0.000000e+00
2.531325e-03,5.000000e-01,9.000000e-03,5.000000e-02,-5.484112e-03,9.109197e-06,0.000000e+00
2.532873e-03,5.000000e-01,1.000000e-02,5.000000e-02,-6.074348e-03,1.119013e-05,0.000000e+00
2.534420e-03,5.000000e-01,1.100000e-02,5.000000e-02,-6.664583e-03,1.327106e-05,0.000000e+00
2.535968e-03,5.000000e-01,1.200000e-02,5.000000e-02,-7.254818e-03,1.535200e-05,0.000000e+00
2.537515e-03,5.000000e-01,1.300000e-02,5.000000e-02,-7.845054e-03,1.743293e-05,0.000000e+00
2.539063e-03,5.000000e-01,1.400000e-02,5.000000e-02,-8.435289e-03,1.951387e-05,0.000000e+00
2.540610e-03,5.000000e-01,1.500000e-02,5.000000e-02,-9.025524e-03,2.159480e-05,0.000000e+00
2.542074e-03,5.000000e-01,1.600000e-02,5.000000e-02,-9.608111e-03,2.411490e-05,0.000000e+00
2.543398e-03,5.000000e-01,1.700000e-02,5.000000e-02,-1.017795e-02,2.736693e-05,0.000000e+00
2.544722e-03,5.000000e-01,1.800000e-02,5.000000e-02,-1.074778e-02,3.061895e-05,0.000000e+00
2.546045e-03,5.000000e-01,1.900000e-02,5.000000e-02,-1.131762e-02,3.387099e-05,0.000000e+00
2.547369e-03,5.000000e-01,2.000000e-02,5.000000e-02,-1.188746e-02,3.712302e-05,0.000000e+00
2.548693e-03,5.000000e-01,2.100000e-02,5.000000e-02,-1.245730e-02,4.037505e-05,0.000000e+00
2.550017e-03,5.000000e-01,2.200000e-02,5.000000e-02,-1.302713e-02,4.362708e-05,0.000000e+00
2.551341e-03,5.000000e-01,2.300000e-02,5.000000e-02,-1.359697e-02,4.687911e-05,0.000000e+00
2.552462e-03,5.000000e-01,2.400000e-02,5.000000e-02,-1.415621e-02,5.069359e-05,0.000000e+00
2.553426e-03,5.000000e-01,2.500000e-02,5.000000e-02,-1.470721e-02,5.494552e-05,0.000000e+00
2.554391e-03,5.000000e-01,2.600000e-02,5.000000e-02,-1.525822e-02,5.919745e-05,0.000000e+00
2.555355e-03,5.000000e-01,2.700000e-02,5.000000e-02,-1.580922e-02,6.344938e-05,0.000000e+00
2.556319e-03,5.000000e-01,2.800000e-02,5.000000e-02,-1.636022e-02,6.770132e-05,0.000000e+00
2.557283e-03,5.000000e-01,2.900000e-02,5.000000e-02,-1.691122e-02,7.195325e-05,0.000000e+00
2.558247e-03,5.000000e-01,3.000000e-02,5.000000e-02,-1.746222e-02,7.620518e-05,0.000000e+00
2.559212e-03,5.000000e-01,3.100000e-02,5.000000e-02,-1.801322e-02,8.045711e-05,0.000000e+00
2.559937e-03,5.000000e-01,3.200000e-02,5.000000e-02,-1.855119e-02,8.533891e-05,0.000000e+00
2.560582e-03,5.000000e-01,3.300000e-02,5.000000e-02,-1.908480e-02,9.043064e-05,0.000000e+00
2.561227e-03,5.000000e-01,3.400000e-02,5.000000e-02,-1.961842e-02,9.552239e-05,0.000000e+00
2.561873e-03,5.000000e-01,3.500000e-02,5.000000e-02,-2.015203e-02,1.006141e-04,0.000000e+00
2.562518e-03,5.000000e-01,3.600000e-02,5.000000e-02,-2.068565e-02,1.057059e-04,0.000000e+00
2.563164e-03,5.000000e-01,3.700000e-02,5.000000e-02,-2.121927e-02,1.107976e-04,0.000000e+00
2.563809e-03,5.000000e-01,3.800000e-02,5.000000e-02,-2.175288e-02,1.158893e-04,0.000000e+00
2.564455e-03,5.000000e-01,3.900000e-02,5.000000e-02,-2.228650e-02,1.209811e-04,0.000000e+00
2.564796e-03,5.000000e-01,4.000000e-02,5.000000e-02,-2.280508e-02,1.267577e-04,0.000000e+00
2.565116e-03,5.000000e-01,4.100000e-02,5.000000e-02,-2.332267e-02,1.325800e-04,0.000000e+00
2.565437e-03,5.000000e-01,4.200000e-02,5.000000e-02,-2.384025e-02,1.384023e-04,0.000000e+00
2.565758e-03,5.000000e-01,4.300000e-02,5.000000e-02,-2.435784e-02,1.442246e-04,0.000000e+00
2.566078e-03,5.000000e-01,4.400000e-02,5.000000e-02,-2.487542e-02,1.500468e-04,0.000000e+00
2.566399e-03,5.000000e-01,4.500000e-02,5.000000e-02,-2.539301e-02,1.558691e-04,0.000000e+00
2.566719e-03,5.000000e-01,4.600000e-02,5.000000e-02,-2.591059e-02,1.616914e-04,0.000000e+00
2.566996e-03,5.000000e-01,4.700000e-02,5.000000e-02,-2.642633e-02,1.675949e-04,0.000000e+00
2.566966e-03,5.000000e-01,4.800000e-02,5.000000e-02,-2.692915e-02,1.740672e-04,0.000000e+00
2.566935e-03,5.000000e-01,4.900000e-02,5.000000e-02,-2.743198e-02,1.805395e-04,0.000000e+00
2.566904e-03,5.000000e-01,5.000000e-02,5.000000e-02,-2.793480e-02,1.870118e-04,0.000000e+00
2.566873e-03,5.000000e-01,5.100000e-02,5.000000e-02,-2.843763e-02,1.934840e-04,0.000000e+00
2.566843e-03,5.000000e-01,5.200000e-02,5.000000e-02,-2.894046e-02,1.999563e-04,0.000000e+00
2.566812e-03,5.000000e-01,5.300000e-02,5.000000e-02,-2.944328e-02,2.064286e-04,0.000000e+00
2.566781e-03,5.000000e-01,5.400000e-02,5.000000e-02,-2.994611e-02,2.129008e-04,0.000000e+00
2.566631e-03,5.000000e-01,5.500000e-02,5.000000e-02,-3.044469e-02,2.195587e-04,0.000000e+00
2.566218e-03,5.000000e-01,5.600000e-02,5.000000e-02,-3.093396e-02,2.266248e-04,0.000000e+00
2.565805e-03,5.000000e-01,5.700000e-02,5.000000e-02,-3.142323e-02,2.336909e-04,0.000000e+00
2.565392e-03,5.000000e-01,5.800000e-02,5.000000e-02,-3.191250e-02,2.407570e-04,0.000000e+00
2.564978e-03,5.000000e-01,5.900000e-02,5.000000e-02,-3.240177e-02,2.478231e-04,0.000000e+00
2.564565e-03,5.000000e-01,6.000000e-02,5.000000e-02,-3.289103e-02,2.548892e-04,0.000000e+00
2.564152e-03,5.000000e-01,6.100000e-02,5.000000e-02,-3.338030e-02,2.619553e-04,0.000000e+00
2.563739e-03,5.000000e-01,6.200000e-02,5.000000e-02,-3.386957e-02,2.690215e-04,0.000000e+00
2.563117e-03,5.000000e-01,6.300000e-02,5.000000e-02,-3.435262e-02,2.763685e-04,0.000000e+00
2.562287e-03,5.000000e-01,6.400000e-02,5.000000e-02,-3.482945e-02,2.839965e-04,0.000000e+00
2.561457e-03,5.000000e-01,6.500000e-02,5.000000e-02,-3.530627e-02,2.916243e-04,0.000000e+00
2.560627e-03,5.000000e-01,6.600000e-02,5.000000e-02,-3.578310e-02,2.992523e-04,0.000000e+00
2.559797e-03,5.000000e-01,6.700000e-02,5.000000e-02,-3.625993e-02,3.068802e-04,0.000000e+00
2.558967e-03,5.000000e-01,6.800000e-02,5.000000e-02,-3.673676e-02,3.145082e-04,0.000000e+00
2.558137e-03,5.000000e-01,6.900000e-02,5.000000e-02,-3.721359e-02,3.221361e-04,0.000000e+00
2.557307e-03,5.000000e-01,7.000000e-02,5.000000e-02,-3.769042e-02,3.297640e-04,0.000000e+00
2.556163e-03,5.000000e-01,7.100000e-02,5.000000e-02,-3.815942e-02,3.377723e-04,0.000000e+00
2.554876e-03,5.000000e-01,7.200000e-02,5.000000e-02,-3.862487e-02,3.459534e-04,0.000000e+00
